Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Mul_294,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_296,Conv,655872000,0.67%,3687680,0.20%,409920,0.58%,1x1280x40x40,1x320x40x40
Sigmoid_297,Sigmoid,16384000,0.02%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Mul_298,Mul,512000,0.00%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
MaxPool_299,MaxPool,512000,0.00%,512000,0.03%,0,0.00%,1x320x40x40,1x320x20x20
Conv_303,Conv,164352000,0.17%,2458880,0.14%,102720,0.15%,1x320x40x40,1x320x40x40
Conv_341,Conv,2950144000,3.01%,11471360,0.63%,1843840,2.60%,1x320x40x40,1x640x40x40
Conv_300,Conv,41088000,0.04%,922880,0.05%,102720,0.15%,1x320x20x20,1x320x20x20
Sigmoid_304,Sigmoid,16384000,0.02%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Sigmoid_342,Sigmoid,32768000,0.03%,4096000,0.23%,0,0.00%,1x640x40x40,1x640x40x40
Sigmoid_301,Sigmoid,4096000,0.00%,512000,0.03%,0,0.00%,1x320x20x20,1x320x20x20
Mul_305,Mul,512000,0.00%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Mul_343,Mul,1024000,0.00%,4096000,0.23%,0,0.00%,1x640x40x40,1x640x40x40
Mul_302,Mul,128000,0.00%,512000,0.03%,0,0.00%,1x320x20x20,1x320x20x20
Conv_306,Conv,368768000,0.38%,4199680,0.23%,921920,1.30%,1x320x40x40,1x320x20x20
Conv_362,Conv,27691200,0.03%,242028,0.01%,17307,0.02%,1x640x40x40,1x27x40x40
Sigmoid_307,Sigmoid,4096000,0.00%,512000,0.03%,0,0.00%,1x320x20x20,1x320x20x20
Mul_308,Mul,128000,0.00%,512000,0.03%,0,0.00%,1x320x20x20,1x320x20x20
Transpose_364,Transpose,0,0.00%,172800,0.01%,0,0.00%,1x3x9x40x40,1x3x40x40x9
Sigmoid_365,Sigmoid,1382400,0.00%,172800,0.01%,0,0.00%,1x3x40x40x9,1x3x40x40x9
Conv_310,Conv,262348800,0.27%,3442688,0.19%,655872,0.93%,1x1280x20x20,1x512x20x20
Conv_313,Conv,262348800,0.27%,3442688,0.19%,655872,0.93%,1x1280x20x20,1x512x20x20
Split_366,Split,0,0.00%,172800,0.01%,0,0.00%,1x3x40x40x9,1x3x40x40x2
Sigmoid_311,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Sigmoid_314,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_368,Mul,9600,0.00%,38400,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
Pow_372,Pow,307200,0.00%,38400,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
Mul_312,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_315,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Add_370,Add,9600,0.00%,51200,0.00%,3200,0.00%,1x3x40x40x2,1x3x40x40x2
Mul_374,Mul,9600,0.00%,38424,0.00%,6,0.00%,1x3x40x40x2,1x3x40x40x2
Conv_316,Conv,943923200,0.96%,10258432,0.57%,2359808,3.33%,1x512x20x20,1x512x20x20
Sigmoid_317,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_318,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Conv_319,Conv,943923200,0.96%,10258432,0.57%,2359808,3.33%,1x512x20x20,1x512x20x20
Sigmoid_320,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_321,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Conv_322,Conv,943923200,0.96%,10258432,0.57%,2359808,3.33%,1x512x20x20,1x512x20x20
Sigmoid_323,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_324,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Conv_325,Conv,943923200,0.96%,10258432,0.57%,2359808,3.33%,1x512x20x20,1x512x20x20
Sigmoid_326,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_327,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Conv_328,Conv,943923200,0.96%,10258432,0.57%,2359808,3.33%,1x512x20x20,1x512x20x20
Sigmoid_329,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_330,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Conv_331,Conv,943923200,0.96%,10258432,0.57%,2359808,3.33%,1x512x20x20,1x512x20x20
Sigmoid_332,Sigmoid,6553600,0.01%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Mul_333,Mul,204800,0.00%,819200,0.05%,0,0.00%,1x512x20x20,1x512x20x20
Conv_335,Conv,655616000,0.67%,7580160,0.42%,1639040,2.31%,1x2560x20x20,1x640x20x20
Sigmoid_336,Sigmoid,8192000,0.01%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Mul_337,Mul,256000,0.00%,1024000,0.06%,0,0.00%,1x640x20x20,1x640x20x20
Conv_344,Conv,2949632000,3.01%,31544320,1.74%,7374080,10.41%,1x640x20x20,1x1280x20x20
Sigmoid_345,Sigmoid,16384000,0.02%,2048000,0.11%,0,0.00%,1x1280x20x20,1x1280x20x20
Mul_346,Mul,512000,0.00%,2048000,0.11%,0,0.00%,1x1280x20x20,1x1280x20x20
Conv_377,Conv,13834800,0.01%,181548,0.01%,34587,0.05%,1x1280x20x20,1x27x20x20
Transpose_379,Transpose,0,0.00%,43200,0.00%,0,0.00%,1x3x9x20x20,1x3x20x20x9
Sigmoid_380,Sigmoid,345600,0.00%,43200,0.00%,0,0.00%,1x3x20x20x9,1x3x20x20x9
Split_381,Split,0,0.00%,43200,0.00%,0,0.00%,1x3x20x20x9,1x3x20x20x2
Mul_383,Mul,2400,0.00%,9600,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
Pow_387,Pow,76800,0.00%,9600,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
Add_385,Add,2400,0.00%,12800,0.00%,800,0.00%,1x3x20x20x2,1x3x20x20x2
Mul_389,Mul,2400,0.00%,9624,0.00%,6,0.00%,1x3x20x20x2,1x3x20x20x2
Mul_408,Mul,100800,0.00%,403200,0.02%,0,0.00%,1x25200x4,1x25200x4
MatMul_410,MatMul,403200,0.00%,403264,0.02%,16,0.00%,1x25200x4,1x25200x4
ReduceMax_411,ReduceMax,100800,0.00%,100800,0.01%,0,0.00%,1x25200x4,1x25200x1
ArgMax_412,ArgMax,0,0.00%,100800,0.01%,0,0.00%,1x25200x4,1x25200x1
Flatten_431,Flatten,0,0.00%,403200,0.02%,0,0.00%,1x25200x4,25200x4
Transpose_417,Transpose,0,0.00%,100800,0.01%,0,0.00%,1x25200x1,1x1x25200
Flatten_446,Flatten,0,0.00%,100800,0.01%,0,0.00%,1x25200x1,25200x1
Flatten_462,Flatten,0,0.00%,100800,0.01%,0,0.00%,1x25200x1,25200x1
Mul_415,Mul,25200,0.00%,100800,0.01%,0,0.00%,1x25200x1,1x25200x1
Add_416,Add,100800,0.00%,403200,0.02%,0,0.00%,1x25200x4,1x25200x4
NonMaxSuppression_421,NonMaxSuppression,0,0.00%,1216,0.00%,3,0.00%,1x25200x4,100x3
Mul_432,Mul,100,0.00%,408,0.00%,1,0.00%,100,100
Add_433,Add,100,0.00%,400,0.00%,0,0.00%,100,100
Total,_,97953531400,100%,1809268516,100%,70817203,100%,_,_
