Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Sigmoid_90,Sigmoid,16384000,0.02%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Mul_91,Mul,512000,0.00%,2048000,0.11%,0,0.00%,1x320x40x40,1x320x40x40
Conv_93,Conv,262553600,0.27%,2294784,0.13%,164096,0.23%,1x640x40x40,1x256x40x40
Conv_96,Conv,262553600,0.27%,2294784,0.13%,164096,0.23%,1x640x40x40,1x256x40x40
Sigmoid_94,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Sigmoid_97,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_95,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_98,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_99,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_100,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_101,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_102,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_103,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_104,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_105,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_106,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_107,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_108,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_109,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_110,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_111,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_112,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_113,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_114,Conv,944128000,0.96%,3998720,0.22%,590080,0.83%,1x256x40x40,1x256x40x40
Sigmoid_115,Sigmoid,13107200,0.01%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Mul_116,Mul,409600,0.00%,1638400,0.09%,0,0.00%,1x256x40x40,1x256x40x40
Conv_118,Conv,2623488000,2.68%,14750720,0.82%,1639680,2.32%,1x1280x40x40,1x1280x40x40
Sigmoid_119,Sigmoid,65536000,0.07%,8192000,0.45%,0,0.00%,1x1280x40x40,1x1280x40x40
Mul_120,Mul,2048000,0.00%,8192000,0.45%,0,0.00%,1x1280x40x40,1x1280x40x40
MaxPool_121,MaxPool,2048000,0.00%,2048000,0.11%,0,0.00%,1x1280x40x40,1x1280x20x20
